Modelo,Accuracy,Precision,Recall,F1,AUC
KNN sin balanceo,0.5798860174904196,0.5498918009136812,0.4875812813132928,0.5168653596248376,0.6059022459533369
KNN con SMOTE,0.5709442861354034,0.5333745364647713,0.5519667412855772,0.5425113939965425,0.6020223705572321
KNN con weight=distance,0.5798860174904196,0.5498918009136812,0.4875812813132928,0.5168653596248376,0.6059022459533369
Clasificador Bayesiano sin balanceo,0.49336739707182864,0.47596675099385616,0.9827310521266389,0.6413217391304348,0.6422331434544305
Clasificador Bayesiano con SMOTE,0.49425174412891815,0.47634837573182737,0.9800660910350709,0.6410989470748204,0.6414880618146238
Logística L1 - Sin Balanceo,0.6334381448363958,0.6442741208295762,0.45698752798209147,0.5347053320860617,0.681108885720047
Logística L2 - Sin Balanceo,0.6336837967966984,0.6444978231496772,0.4576271186440678,0.535220047375639,0.6810922737325629
Regresion logistica (L1) con SMOTE,0.6334381448363958,0.6442741208295762,0.45698752798209147,0.5347053320860617,0.681108885720047
Regresion logistica (L2) con SMOTE,0.6262651075955586,0.5961621856027753,0.5861848417013111,0.5911314162859447,0.6800556759989412
Regresión L1 class_weight=balanced,0.628721627198585,0.6011310711909514,0.5778701630956188,0.5892711560410892,0.6811873215018872
Regresión L2 class_weight=balanced,0.6292129311191903,0.6016179078014184,0.5787229506449206,0.5899483835914153,0.6811305687352894
Arboles de decision sin SMOTE,0.5648521175198978,0.5274633123689727,0.5364033685108197,0.531895777178796,0.5627775507310911
Arboles de decision con SMOTE,0.5572369067505158,0.5192287649817613,0.5310734463276836,0.5250843170320405,0.5553793826758129
Árbol (class_weight=balanced),0.5606269038026923,0.52304777941486,0.529794265003731,0.5263994068739077,0.5584165202893132
RandomForest sin balanceo,0.6303429301365825,0.6113709967614249,0.5433322673488967,0.5753471046393498,0.6793139944735318
RandomForest con SMOTE,0.6261668468114375,0.6036742335595601,0.5499413708559855,0.5755564232721593,0.6778898322716768
RandomForest con class_weight=balanced,0.623513805640169,0.5857456578159314,0.6255196674128558,0.6049796381256766,0.6772326873047976
XGBoost sin balanceo,0.6444924830500147,0.6427525622254758,0.514763884447287,0.571682254054694,0.6956015284699398
XGBoost con SMOTE,0.6421833546231699,0.6322157801865389,0.5346977934122161,0.5793820386947733,0.6931575942434237
XGBoost con scale_pos_weight,0.640709442861354,0.6100234092360076,0.6111288775183882,0.6105756430054848,0.6949003034485525
SVM sin balanceo,0.6403655301169303,0.6458185934625725,0.4865152968766656,0.5549610894941635,0.6919029277442758
SVM con SMOTE,0.6434607448167436,0.6110646308303702,0.6228547063212877,0.6169033416037586,0.6929402735030649
SVM con class_weight=balanced,0.6468998722609807,0.6175525075010716,0.6143268308282699,0.615935445946668,0.6942352799308841
